corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,,,,,,,,,1,0,1,0,9,1,37,2,,,,,,,,,767.2374574877322,go,circleblack.png,left,0.55,,,,,,,,,,,,,,,,,0.001958344131708145,0.48965711891651154,,769.7396263629198,test,2,,,,,,,,767.2564357072115,767.7529365681112,767.7529365681112,767.7696752808988,768.3036151379347,768.8041775487363,768.7541419528425,769.757934872061,left,1,0.55,0.8725074157118797,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,9,2,38,2,,,,,,,,,769.7400619238615,go,circleblack.png,left,0.55,,,,,,,,,,,,,,,,,0.0012480616569519043,0.4900957942008972,,772.2425891906023,test,2,,,,,,,,769.757934872061,770.2557595856488,770.2557595856488,770.2725902348757,770.8068708516657,771.3066778108478,771.2562447190285,772.2618453763425,left,1,0.55,0.5506523624062538,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,9,3,39,1,,,,,,,,,772.2430164404213,go,circleblack.png,left,0.55,,,,,,,,,,,,,,,,,0.001392412930727005,0.489480409771204,,774.7452849633992,test,2,,,,,,,,772.2618453763425,772.7585745118558,772.7585745118558,772.7751838378608,773.309213321656,773.8094956129789,773.7591805197299,774.7646053396165,left,1,0.55,0.3703226260840893,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,10,0,40,3,,,,,,,,,774.7457274161279,stop,squareblack.png,right,0.55,,,,,,,,,,,,,,,,,0.0016178004443645477,0.489921934902668,1.0403637774288654,777.2482513226569,test,2,,,,,,,,774.7646053396165,775.2615291588008,775.2615291588008,775.2781512327492,775.8118989989161,776.3119959309697,776.2621484100819,777.2674132436514,right,1,0.5,0.4630023464560509,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,10,1,41,3,,,,,,,,,777.2486805096269,go,circleblack.png,left,0.5,,,,,,,,,,,,,,,,,0.0018419399857521057,0.4883282445371151,,779.7509882040322,test,2,,,,,,,,777.2674132436514,777.7628283202648,777.7628283202648,777.7818283587694,778.2646961472929,778.7651249803603,778.7651249803603,779.7700683698058,left,1,0.5,0.8844203390181065,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,10,2,42,1,,,,,,,,,779.7514299824834,stop,circleblack.png,left,0.5,,,,,,,,,,,,,,,,,0.0014095418155193329,0.4896502383053303,0.9903811402618885,782.2538577504456,test,2,,,,,,,,779.7700683698058,780.2668419331312,780.2668419331312,780.2836746163666,780.7674011141062,781.2675354145467,781.2675354145467,782.2734114862978,left,1,0.45,0.5146428756415844,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,10,3,43,0,,,,,,,,,782.2542883530259,stop,squareblack.png,right,0.45,,,,,,,,,,,,,,,,,0.0017880313098430634,0.4891030974686146,0.9399182535707951,784.7564244270325,test,2,,,,,,,,782.2734114862978,782.7695452831686,782.7695452831686,782.7863559983671,783.2200553752482,783.7232845053077,783.7693188376725,784.7751700393856,None,0,0.5,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,11,0,44,0,,,,,,,,,784.7568667680025,go,squareblack.png,right,0.5,,,,,,,,,,,,,,,,,0.0011868737637996674,0.4898752123117447,,787.2592734768987,test,2,,,,,,,,784.7751700393856,785.2724709920585,785.2724709920585,785.2889958247542,785.7729801535606,786.2727571800351,786.2727571800351,787.2780497260392,right,1,0.5,0.501287218183279,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,11,1,45,1,,,,,,,,,787.2597126737237,go,squareblack.png,right,0.5,,,,,,,,,,,,,,,,,0.0013126879930496216,0.48970720171928406,,789.7616464421153,test,2,,,,,,,,787.2780497260392,787.7751982957125,787.7751982957125,787.7917020879686,788.2757779322565,788.776337325573,788.776337325573,789.7808243446052,right,1,0.5,0.7777537032961845,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,11,2,46,1,,,,,,,,,789.7620709612966,stop,circleblack.png,left,0.5,,,,,,,,,,,,,,,,,0.0018391124904155731,0.49005989730358124,0.9905988834798336,792.2648848257959,test,2,,,,,,,,789.7808243446052,790.2778296396136,790.2778296396136,790.2944871485233,790.7785364240408,791.278729096055,791.278729096055,792.2839938662946,left,1,0.45,0.4400915056467056,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,11,3,47,0,,,,,,,,,792.265318300575,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,,0.0017999745905399323,0.48953209072351456,,794.7677484601736,test,2,,,,,,,,792.2839938662946,792.7806398570538,792.7806398570538,792.7974688746035,793.2312826476991,793.7306401357055,793.7808141559362,794.7832600995898,right,1,0.45,0.608525525778532,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
